pdf_url,accepted,reason
https://static.cninfo.com.cn/finalpage/2024-08-20/1220909330.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-08-24/1220962086.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-08-31/1221081051.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-08-31/1221082162.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-09-03/1221125218.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-09-06/1221161029.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-09-07/1221160102.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-09-07/1221160510.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-09-07/1221160814.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-09-07/1221161201.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-09-13/1221223973.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-09-13/1221223579.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-09-13/1221224443.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-09-21/1221258842.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-09-30/1221332411.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-10-10/1221355947.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-10-12/1221367972.PDF,0,非目标披露事由
https://static.cninfo.com.cn/finalpage/2024-10-16/1221395946.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-10-19/1221435053.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-10-19/1221435419.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-10-21/1221452133.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-10-22/1221451986.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-10-23/1221474777.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-10-24/1221491023.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-10-24/1221488982.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-10-25/1221523924.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-10-26/1221522273.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-10-26/1221525811.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-10-26/1221521366.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-10-28/1221532468.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-10-29/1221538547.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-10-29/1221557620.PDF,0,仅个人或关联方涉案
