date,code,notice_date,pdf_url,provisional_purpose,decision,evidence
2024-02-19,sz.300339,2024-02-09,https://static.cninfo.com.cn/finalpage/2024-02-09/1219132754.PDF,maintain,pending,
2024-02-20,sh.603296,2024-02-19,https://static.cninfo.com.cn/finalpage/2024-02-19/1219137541.PDF,employee,pending,
2024-02-20,sz.003015,2024-02-19,https://static.cninfo.com.cn/finalpage/2024-02-19/1219132389.PDF,maintain,pending,
2024-02-20,sz.300395,2024-02-19,https://static.cninfo.com.cn/finalpage/2024-02-19/1219139869.PDF,employee,pending,
2024-02-20,sz.301012,2024-02-19,https://static.cninfo.com.cn/finalpage/2024-02-19/1219139685.PDF,employee,pending,
2024-02-20,sz.301320,2024-02-19,https://static.cninfo.com.cn/finalpage/2024-02-19/1219138971.PDF,employee,pending,
2024-02-21,sh.600362,2024-02-20,https://static.cninfo.com.cn/finalpage/2024-02-20/1219138978.PDF,maintain,pending,
2024-02-21,sh.600699,2024-02-20,https://static.cninfo.com.cn/finalpage/2024-02-20/1219140633.PDF,employee,pending,
2024-02-21,sh.603885,2024-02-20,https://static.cninfo.com.cn/finalpage/2024-02-20/1219139724.PDF,employee,pending,
2024-02-21,sz.002885,2024-02-20,https://static.cninfo.com.cn/finalpage/2024-02-20/1219140668.PDF,employee,pending,
2024-02-21,sz.301085,2024-02-20,https://static.cninfo.com.cn/finalpage/2024-02-20/1219142642.PDF,employee,pending,
2024-02-22,sh.603626,2024-02-21,https://static.cninfo.com.cn/finalpage/2024-02-21/1219142115.PDF,employee,pending,
2024-02-22,sh.603950,2024-02-21,https://static.cninfo.com.cn/finalpage/2024-02-21/1219142809.PDF,employee,pending,
2024-02-22,sh.603978,2024-02-21,https://static.cninfo.com.cn/finalpage/2024-02-21/1219143391.PDF,employee,pending,
2024-02-22,sh.688252,2024-02-21,https://static.cninfo.com.cn/finalpage/2024-02-21/1219142218.PDF,employee,pending,
2024-02-22,sz.003019,2024-02-21,https://static.cninfo.com.cn/finalpage/2024-02-21/1219143336.PDF,employee,pending,
2024-02-23,sh.600779,2024-02-22,https://static.cninfo.com.cn/finalpage/2024-02-22/1219147492.PDF,employee,pending,
2024-02-23,sh.688037,2024-02-22,https://static.cninfo.com.cn/finalpage/2024-02-22/1219147323.PDF,employee,pending,
2024-02-23,sz.002382,2024-02-22,https://static.cninfo.com.cn/finalpage/2024-02-22/1219147150.PDF,maintain,pending,
2024-02-23,sz.300068,2024-02-22,https://static.cninfo.com.cn/finalpage/2024-02-22/1219146772.PDF,maintain,pending,
2024-02-23,sz.300378,2024-02-22,https://static.cninfo.com.cn/finalpage/2024-02-22/1219147296.PDF,maintain,pending,
2024-02-26,sh.601865,2024-02-24,https://static.cninfo.com.cn/finalpage/2024-02-24/1219172565.PDF,employee,pending,
2024-02-26,sz.002819,2024-02-23,https://static.cninfo.com.cn/finalpage/2024-02-23/1219156697.PDF,unknown,pending,
2024-02-26,sz.300232,2024-02-23,https://static.cninfo.com.cn/finalpage/2024-02-23/1219157566.PDF,unknown,pending,
2024-02-26,sz.300776,2024-02-23,https://static.cninfo.com.cn/finalpage/2024-02-23/1219171810.PDF,employee,pending,
2024-02-27,sz.300124,2024-02-26,https://static.cninfo.com.cn/finalpage/2024-02-26/1219186496.PDF,employee,pending,
2024-02-27,sz.300429,2024-02-26,https://static.cninfo.com.cn/finalpage/2024-02-26/1219186101.PDF,employee,pending,
2024-02-27,sz.300686,2024-02-26,https://static.cninfo.com.cn/finalpage/2024-02-26/1219185240.PDF,employee,pending,
2024-02-27,sz.301125,2024-02-26,https://static.cninfo.com.cn/finalpage/2024-02-26/1219186132.PDF,maintain,pending,
